px py pz ox oy oz ow
0.481887 -0.102841 0.174908 0.997901 0.0536463 0.0291848 0.0215244
0.483102 -0.102958 0.174712 0.997907 0.053353 0.0293064 0.0218306
0.484768 -0.103039 0.174501 0.99793 0.052623 0.0295262 0.0222639
0.486082 -0.103012 0.1742 0.99797 0.0516735 0.0295861 0.022597
0.487751 -0.102929 0.173837 0.998009 0.0506715 0.0296848 0.0230202
0.489297 -0.10286 0.173577 0.998034 0.0498954 0.0298506 0.023413
0.490893 -0.102765 0.173222 0.998032 0.0496777 0.0299387 0.0238269
0.492597 -0.102701 0.172817 0.998014 0.0497731 0.0300047 0.0242844
0.494094 -0.10271 0.172323 0.997998 0.0499256 0.0299414 0.024702
0.49545 -0.102782 0.171685 0.997993 0.0499709 0.0297166 0.0250908
0.496751 -0.102919 0.171001 0.997991 0.0499777 0.0294429 0.0254693
0.498105 -0.103112 0.170066 0.997997 0.049944 0.0289765 0.0258553
0.499021 -0.10322 0.169297 0.998004 0.0499257 0.0285447 0.0260884
0.50026 -0.103347 0.168397 0.998007 0.0499621 0.0280937 0.0264028
0.501384 -0.103403 0.167347 0.998007 0.0501324 0.0274807 0.0267117
0.502509 -0.103371 0.166273 0.998004 0.0503753 0.0268597 0.026999
0.503992 -0.10333 0.165158 0.997995 0.0506385 0.0263347 0.0273629
0.505064 -0.103287 0.164473 0.99799 0.0507405 0.0260707 0.0276135
0.507026 -0.103204 0.163532 0.997981 0.0507568 0.0258655 0.0280711
0.508519 -0.103118 0.162737 0.997997 0.0503785 0.0256539 0.0284034
0.509681 -0.102962 0.161823 0.998042 0.0495426 0.0252545 0.0286393
0.511022 -0.102659 0.16049 0.998087 0.0488338 0.0245614 0.028895
0.512039 -0.10235 0.15928 0.998135 0.0480705 0.023884 0.0290707
0.512937 -0.102056 0.158104 0.998204 0.0468538 0.0232234 0.0292127
0.513884 -0.101779 0.156867 0.998264 0.0458088 0.022524 0.0293747
0.514952 -0.101559 0.155624 0.998305 0.0451041 0.0218584 0.0295837
0.515755 -0.101397 0.154417 0.998324 0.0449069 0.0211272 0.0297572
0.516528 -0.101255 0.153246 0.998329 0.045019 0.0204123 0.0299326
0.517535 -0.101107 0.151898 0.998325 0.0452961 0.0196368 0.0301652
0.518533 -0.10096 0.150426 0.998322 0.0455802 0.0187639 0.0304011
0.519375 -0.100902 0.149082 0.998321 0.0457633 0.0179641 0.03062
0.520336 -0.100975 0.147699 0.998324 0.0458108 0.0171911 0.0308981
0.521199 -0.101117 0.146246 0.998328 0.0458664 0.0163065 0.0311713
0.521867 -0.101246 0.144496 0.998331 0.0460484 0.0151143 0.0314118
0.522373 -0.101319 0.142509 0.998334 0.0462969 0.0136723 0.0316094
0.522746 -0.101278 0.140392 0.998334 0.0466308 0.0120861 0.0317528
0.523016 -0.101086 0.138702 0.998329 0.0470035 0.0108174 0.0318159
0.52335 -0.100708 0.137076 0.998318 0.0474785 0.00963796 0.0318403
0.52366 -0.100149 0.135618 0.9983 0.0480738 0.00858836 0.0318013
0.524038 -0.0993503 0.134355 0.998271 0.0488871 0.00772859 0.0317013
0.524582 -0.0982553 0.133512 0.998227 0.049957 0.00727531 0.031537
0.525423 -0.0964612 0.133195 0.998156 0.0515468 0.00737485 0.031208
0.526057 -0.0949182 0.133347 0.998099 0.0527754 0.00777141 0.0308663
0.526664 -0.0931512 0.133577 0.998038 0.0540943 0.00822903 0.0304422
0.527153 -0.0913781 0.133716 0.997977 0.0553901 0.00856085 0.0300198
0.527474 -0.0897554 0.133738 0.997929 0.0564243 0.00873401 0.0296315
0.527786 -0.0876831 0.133663 0.997919 0.0568464 0.00885413 0.0291205
0.528011 -0.0861051 0.133613 0.997985 0.0558712 0.00897327 0.0287179
0.528197 -0.0848045 0.133662 0.998121 0.0535361 0.00912362 0.0283654
0.528335 -0.0844048 0.133903 0.998268 0.0507272 0.00943704 0.0282465
0.528401 -0.0844733 0.134363 0.998419 0.0476203 0.0098111 0.0282157
0.528388 -0.0846533 0.134864 0.998496 0.0459311 0.0100676 0.0281861
0.528302 -0.084898 0.135513 0.998528 0.0451983 0.0102866 0.0281594
0.528223 -0.0851806 0.136321 0.998539 0.0448686 0.0107003 0.028155
0.528285 -0.0855217 0.137464 0.998545 0.0444832 0.0115664 0.028205
0.528123 -0.0858038 0.138554 0.998554 0.0441172 0.0121662 0.0281884
0.527581 -0.0859696 0.139425 0.998571 0.0437966 0.0122511 0.0280542
0.526719 -0.0860233 0.140295 0.998592 0.0435135 0.0121261 0.0278211
0.525696 -0.0859911 0.141177 0.998611 0.0432648 0.0120695 0.0275441
0.524511 -0.0858431 0.142169 0.998628 0.0430693 0.0121169 0.0272072
0.523263 -0.0855993 0.143179 0.998641 0.04295 0.012252 0.0268575
0.52219 -0.0853447 0.144304 0.998646 0.0428636 0.0127408 0.0265631
0.521331 -0.0851091 0.145648 0.998647 0.0427787 0.0135161 0.0263115
0.520761 -0.0848433 0.148161 0.99863 0.0426731 0.0153738 0.026081
0.520608 -0.0846972 0.150325 0.998609 0.0425771 0.0171026 0.0259658
0.520338 -0.084546 0.152547 0.998588 0.0424554 0.0188043 0.0258201
0.519467 -0.0843055 0.154664 0.99858 0.0423156 0.0199171 0.025508
0.51792 -0.0839945 0.156643 0.998593 0.042117 0.0203381 0.0250037
0.516368 -0.0837515 0.157828 0.998616 0.041928 0.0201602 0.0245333
0.514404 -0.0834803 0.158859 0.998649 0.0416969 0.0196839 0.0239735
0.512362 -0.08326 0.160157 0.998674 0.0413827 0.0197224 0.0234391
0.510752 -0.083156 0.161263 0.99869 0.0410606 0.0200231 0.023042
0.509322 -0.083162 0.162159 0.998707 0.0406865 0.0203302 0.0227088
0.5076 -0.0832631 0.163071 0.998733 0.0401602 0.0205609 0.0223084
0.506097 -0.0834327 0.163763 0.998759 0.0396277 0.0206868 0.0219689
0.504806 -0.0836279 0.164453 0.998781 0.0391182 0.0208909 0.0216907
0.5035 -0.083854 0.165195 0.998802 0.0385771 0.0211365 0.0214251
0.502204 -0.0840552 0.165732 0.998825 0.0380792 0.0212041 0.0211683
0.500852 -0.0841566 0.166087 0.998849 0.0376763 0.0211009 0.0208998
0.498973 -0.0842272 0.166265 0.998883 0.0372088 0.0206848 0.0205261
0.497606 -0.0843183 0.166485 0.998907 0.0368224 0.0204701 0.020255
0.496534 -0.0844311 0.166662 0.998927 0.0364753 0.0203095 0.0200459
0.495394 -0.0846462 0.166809 0.998952 0.0360174 0.0201065 0.0198376
0.494375 -0.0849439 0.167116 0.998974 0.0354955 0.0200884 0.0196638
0.493548 -0.0853143 0.167565 0.998993 0.0349346 0.0202581 0.0195372
0.492701 -0.0857856 0.168123 0.999013 0.0342638 0.0205263 0.0194166
0.491677 -0.0862169 0.168656 0.999035 0.0335895 0.0207218 0.0192486
0.490534 -0.0865556 0.168999 0.99906 0.0329911 0.0206776 0.0190388
0.488995 -0.0868392 0.169374 0.99909 0.0323484 0.0205617 0.0187302
0.48768 -0.0869702 0.169686 0.999111 0.0318969 0.0204842 0.0184455
0.486253 -0.0870336 0.169998 0.999132 0.0314783 0.0203802 0.0181187
0.484767 -0.0870166 0.170428 0.99915 0.0311093 0.0203797 0.0177603
0.483383 -0.086892 0.171022 0.999161 0.0308512 0.0205696 0.0174056
0.482015 -0.0867282 0.17159 0.99917 0.0306367 0.020734 0.0170485
0.480629 -0.0865184 0.172297 0.999176 0.0304516 0.0210381 0.0166797
0.47885 -0.0862342 0.173205 0.999182 0.0302291 0.0214349 0.016205
